sku,offercode,location_original,location,instance_type,instance_family,vcpu,clock_speed,memory,storage,network_performance,processor_architecture,tenancy,os,usagetype,operation,pd_key,price_description,unit,price
GHKSV7HWD46CE6XE,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-EarlyDelete-ZIA,,GHKSV7HWD46CE6XE.JRTCKXETXF.6YS6EN2CT7,$0.01104 per GB-Month prorated for objects deleted or overwritten before 30 days in One Zone-Infrequent Access,GB-Mo,0.01104
RCU7EC3H83DDBDJM,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-INT-AA-Tier3,RestoreObject,RCU7EC3H83DDBDJM.JRTCKXETXF.6YS6EN2CT7,$0.0 per Requests for Requests-INT-AA-Tier3:RestoreObject in Middle East (Bahrain),Requests,0
PS3Z876M8XGPJR83,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-INT-AA-Tier6,RestoreObjectExpedited,PS3Z876M8XGPJR83.JRTCKXETXF.6YS6EN2CT7,$12.1 per Requests for Requests-INT-AA-Tier6:RestoreObjectExpedited in Middle East (Bahrain),Requests,12.1
UEYZ9CB6Y3WAACY4,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-EarlyDelete-ZIA-SmObjects,,UEYZ9CB6Y3WAACY4.JRTCKXETXF.6YS6EN2CT7,$0.01104 per GB-Month prorated for small objects deleted or overwritten before 30 days in One Zone-Infrequent Access,GB-Mo,0.01104
7MF2WXPNGJQ3BE6D,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-Tier1,,7MF2WXPNGJQ3BE6D.JRTCKXETXF.6YS6EN2CT7,"$0.0055 per 1,000 PUT, COPY, POST, or LIST requests",Requests,0.0000055
BA6PSX6VRU69E67N,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-TimedStorage-INT-IA-ByteHrs,,BA6PSX6VRU69E67N.JRTCKXETXF.6YS6EN2CT7,"$0.0138 per GB-Month of storage used in Intelligent-Tiering, Infrequent Access Tier",GB-Mo,0.0138
NUP4QSB26FXKTG7X,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Select-Scanned-INT-Bytes,,NUP4QSB26FXKTG7X.JRTCKXETXF.6YS6EN2CT7,$0.00225 per GB - for bytes scanned by S3 Select in Intelligent - Tiering,GB,0.00225
DF39NE9R4DU828ZY,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Inventory-ObjectsListed,,DF39NE9R4DU828ZY.JRTCKXETXF.6YS6EN2CT7,$0.0028 per 1 million objects listed in S3 Inventory,Objects,2.8E-09
6FY38XWEUWXU3DJ8,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-Tier2,,6FY38XWEUWXU3DJ8.JRTCKXETXF.6YS6EN2CT7,"$0.0044 per 10,000 GET and all other requests",Requests,0.00000044
XJWW63G6BNRMXU93,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-GLACIER-Tier1,InitiateMultipartUpload,XJWW63G6BNRMXU93.JRTCKXETXF.6YS6EN2CT7,"$0.0055 per 1,000 InitiateMultipartUpload requests to Glacier",Requests,0.0000055
QGRFZYZ3ASYYHS2A,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Bulk-Retrieval-Bytes,IntAARestoreObject,QGRFZYZ3ASYYHS2A.JRTCKXETXF.6YS6EN2CT7,$0.0 per GB for Bulk-Retrieval-Bytes:IntAARestoreObject in Middle East (Bahrain),GB,0
3WRDVYFHBG9KEUET,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Select-Scanned-Bytes,,3WRDVYFHBG9KEUET.JRTCKXETXF.6YS6EN2CT7,$0.00225 per GB - for bytes scanned by S3 Select in Standard,GB,0.00225
K4Q734ZM8EATMWFM,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-TimedStorage-INT-DAA-ByteHrs,INTDAAObjectOverhead,K4Q734ZM8EATMWFM.JRTCKXETXF.6YS6EN2CT7,$0.0018 per Gigabyte Month for TimedStorage-INT-DAA-ByteHrs:INTDAAObjectOverhead in Middle East (Bahrain),Gigabyte Month,0.0018
56QCCJ79YEP67RJX,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Select-Returned-INT-Bytes,,56QCCJ79YEP67RJX.JRTCKXETXF.6YS6EN2CT7,$0.0008 per GB - for bytes returned by S3 Select in Intelligent - Tiering,GB,0.0008
CRW4GT9QHU7VSB2G,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Bulk-Select-Returned-Bytes,,CRW4GT9QHU7VSB2G.JRTCKXETXF.6YS6EN2CT7,$0.00275 per GB - Bulk Select Data Returned Bytes,GB,0.00275
HTPWES9JVUUJCQUB,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-INT-DAA-Tier3,RestoreObject,HTPWES9JVUUJCQUB.JRTCKXETXF.6YS6EN2CT7,$0.0 per Requests for Requests-INT-DAA-Tier3:RestoreObject in Middle East (Bahrain),Requests,0
9485W8Q7QTMQA7AG,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-TimedStorage-GlacierStaging,,9485W8Q7QTMQA7AG.JRTCKXETXF.6YS6EN2CT7,$0.023 per GB-Month of storage used in GlacierStagingStorage,GB-Mo,0.023
29ZA9PJUQAD4RFB6,JRTCKXETXF,Middle East (Bahrain),Bahrain,,,,,,,,,,,MES1-Requests-ZIA-Tier2,,29ZA9PJUQAD4RFB6.JRTCKXETXF.6YS6EN2CT7,"$0.01 per 10,000 GET and all other requests  to One Zone-Infrequent Access",Requests,0.000001
