Instance,vCPU(s),RAM,Temporary storage,Pay as you go with AHB,1 year reserved with AHB,3 year reserved with AHB,Spot with AHB,Add to estimate,Premium SSD Storage,Clock,Burst,Purpose,Single Customer,Constrained CPU,NVMe Disk,GPU,GPU Model,NVIDIA GRID Supported
D2a v4,2,8 GiB,50 GiB,$0.096/hour,$0.0572/hour,$0.0369/hour,$0.0361/hour,,No,2.35,3.35,General,,,,,,
D4a v4,4,16 GiB,100 GiB,$0.192/hour,$0.1144/hour,$0.0737/hour,$0.0722/hour,,No,2.35,3.35,General,,,,,,
D8a v4,8,32 GiB,200 GiB,$0.384/hour,$0.2288/hour,$0.1474/hour,$0.1444/hour,,No,2.35,3.35,General,,,,,,
,,,,,~40% savings,~62% savings,~62% savings,,No,2.35,3.35,General,,,,,,
D16a v4,16,64 GiB,400 GiB,$0.768/hour,$0.4576/hour,$0.2947/hour,$0.2888/hour,,No,2.35,3.35,General,,,,,,
D32a v4,32,128 GiB,800 GiB,$1.536/hour,$0.9151/hour,$0.5894/hour,$0.5776/hour,,No,2.35,3.35,General,,,,,,
D48a v4,48,192 GiB,"1,200 GiB",$2.304/hour,$1.3726/hour,$0.8841/hour,$0.8664/hour,,No,2.35,3.35,General,,,,,,
D64a v4,64,256 GiB,"1,600 GiB",$3.072/hour,$1.8302/hour,$1.1787/hour,$1.1551/hour,,No,2.35,3.35,General,,,,,,
D96a v4,96,384 GiB,"2,400 GiB",$4.608/hour,$2.7453/hour,$1.7681/hour,$1.7327/hour,,No,2.35,3.35,General,,,,,,
D2as v4,2,8 GiB,16 GiB,$0.096/hour,$0.0572/hour,$0.0369/hour,$0.0361/hour,,Yes,2.35,3.35,General,,,,,,
D4as v4,4,16 GiB,32 GiB,$0.192/hour,$0.1144/hour,$0.0737/hour,$0.0722/hour,,Yes,2.35,3.35,General,,,,,,
D8as v4,8,32 GiB,64 GiB,$0.384/hour,$0.2288/hour,$0.1474/hour,$0.1444/hour,,Yes,2.35,3.35,General,,,,,,
