East Asia,Hong Kong
Southeast Asia,Singapore
Australia Central,Canberra
Australia East,New South Wales
Australia Southeast,Victoria
China East,Shanghai
China East 2,Shanghai
China North,Beijing
China North 2,Beijing
China North 3,Hebei
Central India,Pune
South India,Chennai
West India,Mumbai
Indonesia Central,Jakarta
Japan East,"Tokyo, Saitama"
Japan West,Osaka
Korea Central,Seoul
Korea South,Busan
Malaysia West,Kuala Lumpur
New Zealand North,Auckland
Taiwan North,Taipei
Austria East,Vienna
Denmark East,Copenhagen
North Europe,Ireland
West Europe,Netherlands
France Central,Paris
Germany West Central,Frankfurt
Greece Central,Athens
Italy North,Milan
Norway East,Oslo
Poland Central,Warsaw
Spain Central,Madrid
Sweden Central,Gävle
Switzerland North,Zürich
UK South,London
UK West,Cardiff
Brazil South,São Paulo State
Canada Central,Toronto
Canada East,Quebec City
Chile Central,Santiago
Mexico Central,Querétaro State
Central US,Iowa
East US,Virginia
East US 2,Virginia
East US 3,Georgia
North Central US,Illinois
South Central US,Texas
West Central US,Wyoming
West US,California
West US 2,Washington
West US 3,Arizona
US DoD Central,Iowa
US DoD East,Virginia
US Gov Arizona,Arizona
US Gov Texas,Texas
US Gov Virginia,Virginia
US Sec East,Undisclosed
US Sec West,Undisclosed
US Sec West Central,Undisclosed
South Africa North,Johannesburg
Israel Central,Israel
Qatar Central,Doha
UAE North,Dubai
South Africa North,Johannesburg
East Asia,Hong Kong
Southeast Asia,Singapore
Australia Central,Canberra
Australia East,New South Wales
Australia Southeast,Victoria
Austria East,Vienna
US DoD Central,Iowa
US DoD East,Virginia
US Gov Arizona,Arizona
US Gov Texas,Texas
US Gov Virginia,Virginia
US Sec East,Undisclosed
US Sec West,Undisclosed
US Sec West Central,Undisclosed
Brazil South,São Paulo State
Canada Central,Toronto
Canada East,Quebec City
Chile Central,Santiago
China East,Shanghai
China East 2,Shanghai
China North,Beijing
China North 2,Beijing
China North 3,Hebei
Denmark East,Copenhagen
North Europe,Ireland
West Europe,Netherlands
France Central,Paris
Germany West Central,Frankfurt
Greece Central,Athens
Central India,Pune
South India,Chennai
West India,Mumbai
Indonesia Central,Jakarta
Israel Central,Israel
Italy North,Milan
Japan East,"Tokyo, Saitama"
Japan West,Osaka
Korea Central,Seoul
Korea South,Busan
Malaysia West,Kuala Lumpur
Mexico Central,Querétaro State
New Zealand North,Auckland
Norway East,Oslo
Poland Central,Warsaw
Qatar Central,Doha
Spain Central,Madrid
Sweden Central,Gävle
Switzerland North,Zürich
Taiwan North,Taipei
UAE North,Dubai
UK South,London
UK West,Cardiff
Central US,Iowa
East US,Virginia
East US 2,Virginia
East US 3,Georgia
North Central US,Illinois
South Central US,Texas
West Central US,Wyoming
West US,California
West US 2,Washington
West US 3,Arizona
