region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
us,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0076,0.0035
us-central1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0076,0.0035
us-east1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0076,0.0035
us-east4,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0086,0.00375
us-west4,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0086,0.00375
us-west1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0076,0.0035
us-west2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0091,0.0042
us-west3,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0091,0.0042
europe,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0086,0.0039
europe-central2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0096,0.0042
europe-west1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0086,0.0039
europe-west2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0096,0.0042
europe-west3,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0096,0.0042
europe-west4,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0084,0.0039
europe-west6,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0106,0.0049
europe-north1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0084,0.0039
northamerica-northeast1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0084,0.0039
asia,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.009,0.0039
asia-east,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.009,0.0039
asia-east1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.009,0.0039
asia-east2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0106,0.0049
asia-northeast,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.005
asia-northeast1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.005
asia-northeast2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.005
asia-northeast3,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.005
asia-southeast,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.004
asia-southeast1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0092,0.004
australia-southeast1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0106,0.0046
australia-southeast2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0106,0.0046
australia,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0106,0.0046
southamerica-east1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0118,0.0052
asia-south1,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0091,0.0042
asia-southeast2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.010028,0.00436
asia-south2,f1,f1-micro,Null,0,0,0,shared,0,['N/A'],0.6,Null,0.0091,0.0042
us,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.027,0.007
us-central1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.027,0.007
us-east1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.027,0.007
us-east4,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0289,0.00749
us-west4,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0289,0.00749
us-west1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.027,0.007
us-west2,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0308,0.0084
